risk_bucket,rank,score,feature,weight
high,0,0.35465291142463684,drg_code=686,0.04717142998740124
high,0,0.35465291142463684,admit_dx_code=7806,0.04526585688729311
high,0,0.35465291142463684,chronic_count > 7.00,0.03567954590411764
high,0,0.35465291142463684,days_since_last_discharge_imputed <= 94.00,0.01750295182080151
high,0,0.35465291142463684,state_code=36,0.008183914253730162
high,0,0.35465291142463684,8.00 < num_diagnoses <= 9.00,-0.004549807262539608
high,0,0.35465291142463684,admit_month <= 3.00,0.004512687256707585
high,0,0.35465291142463684,sex=Female,-0.003382351638875028
high,0,0.35465291142463684,chronic_cancer > 0.00,0.0018722872154573425
high,0,0.35465291142463684,0.00 < chronic_osteoporosis <= 1.00,0.001836618293673221
high,1,0.3400491178035736,drg_code=073,0.09904244271328538
high,1,0.3400491178035736,admit_dx_code=431,0.06247994311312524
high,1,0.3400491178035736,chronic_count > 7.00,0.03540534880026349
high,1,0.3400491178035736,days_since_last_discharge_imputed <= 94.00,0.015123188839282464
high,1,0.3400491178035736,admit_month <= 3.00,0.0027533724268759222
high,1,0.3400491178035736,0.00 < prior_6mo_inpatient_count <= 1.00,-0.0026415585920149852
high,1,0.3400491178035736,los_days > 7.00,-0.0020424299838719437
high,1,0.3400491178035736,8.00 < num_diagnoses <= 9.00,-0.0019796130437782834
high,1,0.3400491178035736,race=White,-0.0018864313301863325
high,1,0.3400491178035736,admit_dx_chapter=Circulatory,-0.001328481848760786
high,2,0.3357354998588562,drg_code=042,0.09757109484281172
high,2,0.3357354998588562,admit_dx_code=431,0.04779915032125251
high,2,0.3357354998588562,chronic_count > 7.00,0.03386771823322973
high,2,0.3357354998588562,days_since_last_discharge_imputed <= 94.00,0.01508691841225432
high,2,0.3357354998588562,state_code=16,0.01216916958735511
high,2,0.3357354998588562,is_weekend_admit <= 0.00,0.0026316133052820723
high,2,0.3357354998588562,admit_dx_chapter=Circulatory,-0.0026016288134057424
high,2,0.3357354998588562,8.00 < num_diagnoses <= 9.00,-0.0022919732747254833
high,2,0.3357354998588562,chronic_stroke > 0.00,0.0019952067615920067
high,2,0.3357354998588562,0.00 < prior_6mo_inpatient_count <= 1.00,-0.0014482331194146745
low,0,0.0028457457665354013,chronic_count <= 4.00,-0.030691927965293044
low,0,0.0028457457665354013,94.00 < days_since_last_discharge_imputed <= 9999.00,-0.013554059684160194
low,0,0.0028457457665354013,num_diagnoses <= 8.00,0.01094354101376473
low,0,0.0028457457665354013,drg_code=000,-0.009794728248046114
low,0,0.0028457457665354013,prior_6mo_inpatient_count <= 0.00,0.0024257806092693813
low,0,0.0028457457665354013,admit_dx_chapter=Unknown,-0.0022073289938983652
low,0,0.0028457457665354013,num_procedures <= 0.00,-0.002084441561149776
low,0,0.0028457457665354013,3.00 < admit_month <= 6.00,0.0019938123749122755
low,0,0.0028457457665354013,race=Black,0.0019388585971819629
low,0,0.0028457457665354013,admit_dx_code=__missing__,0.0013609728521589619
low,1,0.003020046278834343,chronic_count <= 4.00,-0.031109537569561935
low,1,0.003020046278834343,94.00 < days_since_last_discharge_imputed <= 9999.00,-0.015087633943067044
low,1,0.003020046278834343,drg_code=000,0.013017005201877273
low,1,0.003020046278834343,num_diagnoses <= 8.00,0.010145962467880285
low,1,0.003020046278834343,admit_dx_code=__missing__,-0.006715611738636997
low,1,0.003020046278834343,6.00 < admit_month <= 9.00,-0.00311389649127704
low,1,0.003020046278834343,state_code=44,-0.002833211681151662
low,1,0.003020046278834343,num_procedures <= 0.00,-0.002431411701145034
low,1,0.003020046278834343,prior_6mo_inpatient_count <= 0.00,0.0023568562005154424
low,1,0.003020046278834343,age_bin=65-74,-0.0021406360237183615
low,2,0.003154892474412918,chronic_count <= 4.00,-0.031922545362597594
low,2,0.003154892474412918,94.00 < days_since_last_discharge_imputed <= 9999.00,-0.017000778821497513
low,2,0.003154892474412918,num_diagnoses <= 8.00,0.011336621565314233
low,2,0.003154892474412918,drg_code=000,-0.005055134753947618
low,2,0.003154892474412918,prior_6mo_inpatient_count <= 0.00,0.0024664513444219095
low,2,0.003154892474412918,race=White,-0.0022585700945734425
low,2,0.003154892474412918,los_days > 7.00,-0.0018182873880035742
low,2,0.003154892474412918,is_weekend_admit <= 0.00,0.0017953720521439068
low,2,0.003154892474412918,num_procedures <= 0.00,-0.001603129468475679
low,2,0.003154892474412918,admit_dx_code=__missing__,0.0013984811540483954
